as_of_month,decile,count,pd_avg,odr,abs_err_bp
2024-01-31,1,1000,0.0005515844439984095,0.001,4.484155560015905
2024-01-31,2,1000,0.002428697994584081,0.001,14.286979945840809
2024-01-31,3,1000,0.0036970874451499785,0.005,13.029125548500216
2024-01-31,4,1000,0.0046897544513916055,0.004,6.8975445139160545
2024-01-31,5,1000,0.005586510450893999,0.006,4.134895491060015
2024-01-31,6,1000,0.0065035606953000565,0.006,5.035606953000563
2024-01-31,7,1000,0.007556755915291312,0.014,64.43244084708688
2024-01-31,8,1000,0.008949143988368227,0.01,10.50856011631773
2024-01-31,9,1000,0.011736110917924179,0.01,17.361109179241783
2024-01-31,10,1000,0.0786888069374517,0.088,93.11193062548296
2024-02-29,1,1000,0.000580564033161776,0.0,5.80564033161776
2024-02-29,2,1000,0.0024192540018757305,0.001,14.192540018757304
2024-02-29,3,1000,0.0036328552940982028,0.005,13.671447059017973
2024-02-29,4,1000,0.004670308045786213,0.005,3.29691954213787
2024-02-29,5,1000,0.00561877168473076,0.008,23.812283152692405
2024-02-29,6,1000,0.00655319224552996,0.002,45.5319224552996
2024-02-29,7,1000,0.007614964962816344,0.01,23.850350371836562
2024-02-29,8,1000,0.008968422213549623,0.011,20.31577786450377
2024-02-29,9,1000,0.011845526041222394,0.007,48.455260412223936
2024-02-29,10,1000,0.08218456547130706,0.094,118.15434528692936
2024-03-31,1,1000,0.0005472820491916502,0.001,4.527179508083498
2024-03-31,2,1000,0.0023465124754680493,0.001,13.465124754680494
2024-03-31,3,1000,0.0035769673105595246,0.004,4.2303268944047545
2024-03-31,4,1000,0.004548744594150864,0.005,4.512554058491358
2024-03-31,5,1000,0.005481017583828801,0.008,25.189824161711993
2024-03-31,6,1000,0.006418636861713889,0.004,24.186368617138886
2024-03-31,7,1000,0.007488635247649907,0.008,5.113647523500931
2024-03-31,8,1000,0.008816527870883705,0.004,48.16527870883705
2024-03-31,9,1000,0.011633712053957551,0.011,6.337120539575518
2024-03-31,10,1000,0.07891139758224382,0.073,59.11397582243821
2024-04-30,1,1000,0.0005836439343202466,0.0,5.836439343202466
2024-04-30,2,1000,0.002353715157169859,0.001,13.537151571698589
2024-04-30,3,1000,0.0036047726422556155,0.005,13.952273577443847
2024-04-30,4,1000,0.004563180790881055,0.002,25.63180790881055
2024-04-30,5,1000,0.005469592901299921,0.007,15.304070987000795
2024-04-30,6,1000,0.006393398112698757,0.004,23.93398112698757
2024-04-30,7,1000,0.007452935170180241,0.008,5.470648298197588
2024-04-30,8,1000,0.008831170528814951,0.009,1.6882947118504812
2024-04-30,9,1000,0.011783978986195797,0.014,22.16021013804203
2024-04-30,10,1000,0.08590785431651275,0.084,19.07854316512747
2024-05-31,1,1000,0.0005650377786498352,0.002,14.349622213501648
2024-05-31,2,1000,0.0023807754388503626,0.003,6.192245611496374
