as_of_month,pd_col,y_col,amber,red,auc,ks,brier,pr_auc,lift_10pct,lift_20pct,amber_alert_rate,amber_precision,amber_recall,amber_alerts,red_alert_rate,red_precision,red_recall,red_alerts,auc_roll12,ks_roll12,brier_roll12,pr_auc_roll12
2024-01-31,pd_12m,y_event_12m,0.02,0.05,0.8325156143389493,0.5210518028656904,0.012905761669772949,0.1649746373633215,6.068965516822829,3.37931034459453,0.0812,0.10467980295566502,0.5862068965517241,812,0.0429,0.16317016317016317,0.4827586206896552,429,,,,
2024-02-29,pd_12m,y_event_12m,0.02,0.05,0.8438105467627635,0.5720956531547989,0.012700688621741278,0.17136840718208451,6.573426572966893,3.531468531221576,0.0856,0.10397196261682243,0.6223776223776224,856,0.0436,0.17660550458715596,0.5384615384615384,436,,,,
2024-03-31,pd_12m,y_event_12m,0.02,0.05,0.8270392460192254,0.554443252860298,0.010652113415689054,0.16324703759774054,6.134453780997104,3.529411764409293,0.0802,0.09102244389027432,0.6134453781512605,802,0.0406,0.15763546798029557,0.5378151260504201,406,0.8344551357069795,0.5491969029602625,0.012086187902401095,0.16653002738104886
2024-04-30,pd_12m,y_event_12m,0.02,0.05,0.8518589396419484,0.5724257286444323,0.011946803906627742,0.16290943703910335,6.2686567159501,3.656716417637558,0.0854,0.09484777517564402,0.6044776119402985,854,0.0475,0.14736842105263157,0.5223880597014925,475,0.8388060866907217,0.555004109381305,0.012051341903457757,0.16562487979556248
2024-05-31,pd_12m,y_event_12m,0.02,0.05,0.7922085158547145,0.46553739152300705,0.012950385420492944,0.14314290610871855,5.422535210885736,3.1690140842838717,0.0844,0.08767772511848342,0.5211267605633803,844,0.0414,0.15217391304347827,0.44366197183098594,414,0.8294865725235201,0.5371107658096453,0.012231150606864794,0.1611284850581937
2024-06-30,pd_12m,y_event_12m,0.02,0.05,0.8415491731665317,0.5340736426256077,0.011692668151841229,0.1386613178374699,6.093749999523926,3.5546874997222897,0.0828,0.08695652173913043,0.5625,828,0.0388,0.15206185567010308,0.4609375,388,0.8314970059640222,0.5366045786123057,0.012141403531027531,0.15738395718807305
2024-07-31,pd_12m,y_event_12m,0.02,0.05,0.8009762949488283,0.5041439990645566,0.012377655520745842,0.15109657340304988,5.8394160579679255,3.3211678829692577,0.0753,0.10092961487383798,0.5547445255474452,753,0.0377,0.16710875331564987,0.45985401459854014,377,0.8271369043904231,0.5319673529626273,0.012175153815273006,0.15648575950449833
2024-08-31,pd_12m,y_event_12m,0.02,0.05,0.8589604462474645,0.5985946102578963,0.012171633734981875,0.19780690491819336,6.642857142382653,3.8571428568673465,0.0815,0.1116564417177914,0.65,815,0.043,0.19069767441860466,0.5857142857142857,430,0.8311148471225531,0.540295760124536,0.012174713805236614,0.16165090268121018
2024-09-30,pd_12m,y_event_12m,0.02,0.05,0.8276060012509464,0.5573542482799487,0.012965558548321971,0.2066492531592652,6.283783783359203,3.5135135132761137,0.085,0.10705882352941176,0.6148648648648649,850,0.0451,0.17516629711751663,0.5337837837837838,451,0.8307249753590413,0.5421911476973595,0.01226258544335721,0.16665071940099407
2024-10-31,pd_12m,y_event_12m,0.02,0.05,0.803000506842372,0.4754369168966229,0.01265079247852936,0.09762878248522175,5.1111111107325105,3.1481481479149522,0.0806,0.08064516129032258,0.48148148148148145,806,0.0412,0.13106796116504854,0.4,412,0.8279525285073743,0.5355157246172859,0.012301406146874425,0.15974852570941683
2024-11-30,pd_12m,y_event_12m,0.02,0.05,0.8425268628112462,0.5449523914342066,0.01155004265840939,0.13046965556562898,6.062992125506851,3.6220472438092877,0.0853,0.08792497069167643,0.5905511811023622,853,0.0402,0.15422885572139303,0.4881889763779528,402,0.8292774679895445,0.5363736034188241,0.012233100375195786,0.15708681024179977
2024-12-31,pd_12m,y_event_12m,0.02,0.05,0.801106066242785,0.5121527777777778,0.013018909152104624,0.14019979692008172,5.902777777367863,3.26388888866223,0.085,0.0988235294117647,0.5833333333333334,850,0.0424,0.1580188679245283,0.4652777777777778,424,0.8269298511773147,0.5343552012820703,0.01229858443993819,0.1556795591316566
