as_of_month,cut,alert_rate,precision,recall,alerts
2024-01-31,0.005,0.6161,0.022236649894497647,0.9448275862068966,6161
2024-01-31,0.01,0.1946,0.050359712230215826,0.6758620689655173,1946
2024-01-31,0.015,0.1039,0.0846968238691049,0.6068965517241379,1039
2024-01-31,0.02,0.0812,0.10467980295566502,0.5862068965517241,812
2024-01-31,0.025,0.0641,0.12636505460218408,0.5586206896551724,641
2024-01-31,0.030000000000000002,0.0589,0.13242784380305603,0.5379310344827586,589
2024-01-31,0.034999999999999996,0.0558,0.13620071684587814,0.5241379310344828,558
2024-01-31,0.04,0.0522,0.14367816091954022,0.5172413793103449,522
2024-01-31,0.045,0.0461,0.1540130151843818,0.4896551724137931,461
2024-01-31,0.049999999999999996,0.0429,0.16317016317016317,0.4827586206896552,429
2024-01-31,0.055,0.0408,0.1715686274509804,0.4827586206896552,408
2024-01-31,0.06,0.0402,0.17412935323383086,0.4827586206896552,402
2024-01-31,0.065,0.04,0.175,0.4827586206896552,400
2024-01-31,0.07,0.0395,0.17721518987341772,0.4827586206896552,395
2024-01-31,0.07500000000000001,0.0387,0.18087855297157623,0.4827586206896552,387
2024-01-31,0.08,0.0366,0.1912568306010929,0.4827586206896552,366
2024-01-31,0.085,0.0341,0.20527859237536658,0.4827586206896552,341
2024-01-31,0.09000000000000001,0.0323,0.21671826625386997,0.4827586206896552,323
2024-01-31,0.095,0.0308,0.22077922077922077,0.4689655172413793,308
2024-01-31,0.1,0.0297,0.2222222222222222,0.45517241379310347,297
2024-02-29,0.005,0.6154,0.021611959701007474,0.9300699300699301,6154
2024-02-29,0.01,0.1945,0.0519280205655527,0.7062937062937062,1945
2024-02-29,0.015,0.1058,0.0888468809073724,0.6573426573426573,1058
2024-02-29,0.02,0.0856,0.10397196261682243,0.6223776223776224,856
2024-02-29,0.025,0.0669,0.13153961136023917,0.6153846153846154,669
2024-02-29,0.030000000000000002,0.0606,0.14356435643564355,0.6083916083916084,606
2024-02-29,0.034999999999999996,0.0582,0.14604810996563575,0.5944055944055944,582
2024-02-29,0.04,0.053,0.15660377358490565,0.5804195804195804,530
2024-02-29,0.045,0.0467,0.17130620985010706,0.5594405594405595,467
2024-02-29,0.049999999999999996,0.0436,0.17660550458715596,0.5384615384615384,436
2024-02-29,0.055,0.0421,0.18052256532066507,0.5314685314685315,421
2024-02-29,0.06,0.0415,0.18313253012048192,0.5314685314685315,415
2024-02-29,0.065,0.0408,0.18627450980392157,0.5314685314685315,408
2024-02-29,0.07,0.0402,0.1890547263681592,0.5314685314685315,402
2024-02-29,0.07500000000000001,0.0394,0.19289340101522842,0.5314685314685315,394
2024-02-29,0.08,0.0376,0.19680851063829788,0.5174825174825175,376
2024-02-29,0.085,0.0356,0.199438202247191,0.4965034965034965,356
2024-02-29,0.09000000000000001,0.0339,0.20353982300884957,0.4825174825174825,339
2024-02-29,0.095,0.0325,0.20923076923076922,0.4755244755244755,325
2024-02-29,0.1,0.031,0.20967741935483872,0.45454545454545453,310
2024-03-31,0.005,0.603,0.018076285240464344,0.9159663865546218,6030
2024-03-31,0.01,0.1875,0.04426666666666667,0.6974789915966386,1875
2024-03-31,0.015,0.1039,0.07025986525505294,0.6134453781512605,1039
2024-03-31,0.02,0.0802,0.09102244389027432,0.6134453781512605,802
2024-03-31,0.025,0.0658,0.11094224924012158,0.6134453781512605,658
2024-03-31,0.030000000000000002,0.0591,0.12013536379018612,0.5966386554621849,591
2024-03-31,0.034999999999999996,0.057,0.12456140350877193,0.5966386554621849,570
2024-03-31,0.04,0.0507,0.13214990138067062,0.5630252100840336,507
2024-03-31,0.045,0.0435,0.15172413793103448,0.5546218487394958,435
