feature,mean_abs_shap
covenant_breach_cnt_180d__zs_sector_size,0.7448634397662737
dpo__zs_sector_size,0.5209098142546839
delta_dso_qoq__zs_sector_size,0.43812500626437095
debt_to_ebitda__zs_sector_size,0.3650213850372694
dpd_trend_180d__zs_sector_size,0.3329968880031148
dso__zs_sector_size,0.32828894038980855
ccc__zs_sector_size,0.31472402788482634
%util_p95_60d__zs_sector_size,0.2983262168378311
dpd_max_180d__zs_sector_size,0.29806892017409914
limit_breach_cnt_90d__zs_sector_size,0.2844944576739095
icr_ttm__zs_sector_size,0.27803709665511395
doh__zs_sector_size,0.2615349688792431
inflow_drop_60d__zs_sector_size,0.23779957504834187
%util_mean_60d__zs_sector_size,0.23100417707771154
delta_ccc_qoq__zs_sector_size,0.21230830891524138
inflow_mean_60d__zs_sector_size,0.16227143077666425
outflow_mean_60d__zs_sector_size,0.16216978415152866
current_ratio__zs_sector_size,0.1530614318098403
dscr_ttm_proxy__zs_sector_size,0.14112973262736783
near_due_freq_7d__zs_sector_size,0.06238493282753987
