run_id,date_run,env,model_version,metric,value
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,AUC,0.988123
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,PR_AUC,0.879451
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,KS,0.876564
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,BRIER,0.014777
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,PSI_OVERALL,0.0
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,ApprovalRate,0.9788
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,Grade_A,0.6735
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,Grade_B,0.1074
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,Grade_C,0.0514
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,Grade_D,0.0363
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,Grade_E,0.0394
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,Grade_F,0.0708
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,Grade_G,0.0212
