customer_id,prob_default_12m_calibrated,score_ews,tier,action
C0001,0.008883058549198743,99.11,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0002,0.0019283694027287742,99.81,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0003,0.0356959623061318,96.43,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0004,0.1241146376544641,87.59,Amber,Soát xét RM ≤10 ngày; yêu cầu management accounts; kiểm tra công nợ; hạn chế tăng hạn mức.
C0005,0.08754443880685844,91.25,Amber,Soát xét RM ≤10 ngày; yêu cầu management accounts; kiểm tra công nợ; hạn chế tăng hạn mức.
C0006,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0007,0.09542844688005978,90.46,Amber,Soát xét RM ≤10 ngày; yêu cầu management accounts; kiểm tra công nợ; hạn chế tăng hạn mức.
C0008,0.2750073805821803,72.5,Red,Họp KH ≤5 ngày; lập kế hoạch dòng tiền 13 tuần; xem xét covenant tightening/TSĐB; đưa watchlist.
C0009,0.005221394192836032,99.48,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0010,0.0056030992020082385,99.44,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0011,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0012,0.006115060263959078,99.39,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0013,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0014,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0015,0.0007312614259597807,99.93,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0016,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0017,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0018,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0019,0.00034965034965034965,99.97,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0020,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0021,0.0010393055220641427,99.9,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0022,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0023,0.00034965034965034965,99.97,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0024,0.000847457627118644,99.92,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0025,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0026,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0027,0.006352256018396211,99.36,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0028,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0029,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0030,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0031,0.004288576245694238,99.57,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0032,0.050743781836709946,94.93,Amber,Soát xét RM ≤10 ngày; yêu cầu management accounts; kiểm tra công nợ; hạn chế tăng hạn mức.
C0033,0.00034965034965034965,99.97,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0034,0.0018867631491827866,99.81,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0035,0.000847457627118644,99.92,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0036,0.008022807688947883,99.2,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0037,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0038,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0039,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0040,0.0026180245751425673,99.74,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0041,0.00034965034965034965,99.97,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0042,0.00034965034965034965,99.97,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0043,0.012167001283151702,98.78,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0044,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0045,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0046,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0047,0.16124114681594656,83.88,Amber,Soát xét RM ≤10 ngày; yêu cầu management accounts; kiểm tra công nợ; hạn chế tăng hạn mức.
C0048,0.0037132471674476268,99.63,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0049,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0050,0.002197802197802198,99.78,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0051,0.004126171600530972,99.59,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0052,0.30511490746390074,69.49,Red,Họp KH ≤5 ngày; lập kế hoạch dòng tiền 13 tuần; xem xét covenant tightening/TSĐB; đưa watchlist.
C0053,0.0,100.0,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0054,0.005477855477855478,99.45,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
C0055,0.008850265629926649,99.11,Green,Theo dõi định kỳ; cập nhật BCTC đúng hạn.
