,mean_abs_shap
dso__zs_sector_size,0.9210791410853446
doh__zs_sector_size,0.8800355089172125
ccc__zs_sector_size,0.5704167043762312
%util_p95_60d__zs_sector_size,0.5085803605325556
covenant_breach_cnt_180d__zs_sector_size,0.39703049354927256
%util_mean_60d__zs_sector_size,0.31705943483391363
icr_ttm__zs_sector_size,0.2953111321492539
debt_to_ebitda__zs_sector_size,0.2684476439094466
dscr_ttm_proxy__zs_sector_size,0.2454234527079161
delta_dso_qoq__zs_sector_size,0.24098988902045063
dpd_max_180d__zs_sector_size,0.20014566834533287
delta_ccc_qoq__zs_sector_size,0.19911117738998232
dpo__zs_sector_size,0.1667667588428737
near_due_freq_7d__zs_sector_size,0.15520661634999167
current_ratio__zs_sector_size,0.14961696037276478
dpd_trend_180d__zs_sector_size,0.1406864235742807
limit_breach_cnt_90d__zs_sector_size,0.0
inflow_mean_60d__zs_sector_size,0.0
outflow_mean_60d__zs_sector_size,0.0
inflow_drop_60d__zs_sector_size,0.0
