customer_id,sector,grade,pd_baseline,ead,lgd,apr
C0001,Construction,A,0.0014353741496598,160853.85495550418,0.3,0.08
C0002,Technology,A,1e-06,171090.53031483752,0.27,0.08
C0003,Retail,D,0.0279046054670551,76388.26369536873,0.5,0.14
C0004,Chemicals,G,0.1396341522555114,22205.03904575905,0.6,0.22
C0005,Manufacturing,F,0.0759958315119275,48591.63936726869,0.5,0.18
C0006,Manufacturing,A,1e-06,219621.38415167102,0.25,0.08
C0007,Manufacturing,F,0.0880111661332796,62003.84980303426,0.5,0.18
C0008,Logistics,G,0.2351540616246498,22438.63211086977,0.62,0.22
C0009,Chemicals,C,0.01094610151753,117315.9427107646,0.4,0.12
C0010,Retail,B,0.005517006802721,100556.02539833014,0.39999999999999997,0.1
C0011,Manufacturing,A,1e-06,224936.37353682143,0.25,0.08
C0012,Technology,C,0.013889711291215,122614.41753240128,0.37,0.12
C0013,Logistics,A,1e-06,121664.12516734231,0.32,0.08
C0014,Transportation,A,1e-06,171068.42123142586,0.3,0.08
C0015,Transportation,B,0.0050184986275211,115916.66399632771,0.35,0.1
C0016,Transportation,A,1e-06,146141.65608199075,0.3,0.08
C0017,Construction,A,1e-06,160987.7067130248,0.3,0.08
C0018,Engineering,A,1e-06,151957.98885652318,0.27999999999999997,0.08
C0019,Agriculture,A,1e-06,122054.38125957463,0.38,0.08
C0020,Transportation,A,1e-06,123793.8162510534,0.3,0.08
C0021,Chemicals,A,0.000595238095238,132931.49523018065,0.3,0.08
C0022,Manufacturing,A,1e-06,205753.71025334403,0.25,0.08
C0023,Transportation,A,1e-06,129606.18597941921,0.3,0.08
C0024,Construction,A,1e-06,160134.6298411254,0.3,0.08
C0025,Agriculture,A,1e-06,110653.59026836019,0.38,0.08
C0026,Logistics,A,0.0003401360544217,150450.7682390417,0.32,0.08
C0027,Transportation,A,0.0003401360544217,134590.55226541203,0.3,0.08
C0028,Engineering,A,1e-06,175374.71621395947,0.27999999999999997,0.08
C0029,Chemicals,A,1e-06,141342.33164041536,0.3,0.08
C0030,Manufacturing,A,1e-06,226569.01432613088,0.25,0.08
C0031,Chemicals,B,0.0061137367227592,112092.88721332213,0.35,0.1
C0032,Manufacturing,A,0.0008401360544217,183032.4875933937,0.25,0.08
C0033,Manufacturing,A,1e-06,226290.91919721107,0.25,0.08
C0034,Technology,A,0.0005,175017.43343965593,0.27,0.08
C0035,Technology,A,1e-06,132386.27833281,0.27,0.08
C0036,Logistics,B,0.0088518319608545,99949.52810384212,0.37,0.1
C0037,Construction,A,1e-06,215393.98202673867,0.3,0.08
C0038,Manufacturing,A,1e-06,172851.9453342816,0.25,0.08
C0039,Retail,A,1e-06,136934.2120797602,0.35,0.08
C0040,Agriculture,B,0.0056137367227592,84613.59909127204,0.43,0.1
C0041,Manufacturing,A,1e-06,182858.49823173162,0.25,0.08
C0042,Engineering,A,1e-06,150218.33738090575,0.27999999999999997,0.08
C0043,Manufacturing,C,0.0130508634222919,140629.97772554174,0.35000000000000003,0.12
C0044,Telecommunications,A,1e-06,137707.83087265742,0.29,0.08
C0045,Transportation,A,1e-06,146562.3693213533,0.3,0.08
C0046,Retail,A,0.0003401360544217,118661.00676318764,0.35,0.08
C0047,Construction,G,0.160679509835508,24460.940320773218,0.6,0.22
C0048,Engineering,A,1e-06,170005.3995737671,0.27999999999999997,0.08
C0049,Engineering,A,0.0003401360544217,146000.92608777687,0.27999999999999997,0.08
C0050,Transportation,A,1e-06,159479.989926525,0.3,0.08
