customer_id,sector_code,size_bucket,prob_calibrated,tier,event_h12m,is_test
C0001,CON,SME,0.001435374149659864,GREEN,0,False
C0002,IT,SME,0.0,GREEN,0,True
C0003,RET,SME,0.027904605467055105,GREEN,0,False
C0004,CHE,SME,0.13963415225551148,AMBER,0,False
C0005,MFG,SME,0.07599583151192758,AMBER,0,True
C0006,MFG,Corp,0.0,GREEN,0,True
C0007,MFG,SME,0.08801116613327964,AMBER,0,False
C0008,LOG,SME,0.23515406162464983,RED,1,False
C0009,CHE,SME,0.010946101517530088,GREEN,0,False
C0010,RET,SME,0.005517006802721088,GREEN,0,False
C0011,MFG,Corp,0.0,GREEN,0,True
C0012,IT,SME,0.013889711291215051,GREEN,0,False
C0013,LOG,Corp,0.0,GREEN,0,True
C0014,TRA,SME,0.0,GREEN,0,False
C0015,TRA,SME,0.005018498627521183,GREEN,0,True
C0016,TRA,SME,0.0,GREEN,0,False
C0017,CON,SME,0.0,GREEN,0,False
C0018,ENG,SME,0.0,GREEN,0,False
C0019,AGR,SME,0.0,GREEN,0,False
C0020,TRA,SME,0.0,GREEN,0,False
C0021,CHE,SME,0.0005952380952380952,GREEN,0,False
C0022,MFG,SME,0.0,GREEN,0,True
C0023,TRA,Corp,0.0,GREEN,0,True
C0024,CON,SME,0.0,GREEN,0,False
C0025,AGR,SME,0.0,GREEN,0,False
C0026,LOG,SME,0.0003401360544217687,GREEN,0,False
C0027,TRA,Corp,0.0003401360544217687,GREEN,0,False
C0028,ENG,Corp,0.0,GREEN,0,False
C0029,CHE,SME,0.0,GREEN,0,False
C0030,MFG,SME,0.0,GREEN,0,False
C0031,CHE,SME,0.006113736722759279,GREEN,0,False
C0032,MFG,Corp,0.0008401360544217686,GREEN,0,False
C0033,MFG,Corp,0.0,GREEN,0,False
C0034,IT,Corp,0.0005,GREEN,0,False
C0035,IT,SME,0.0,GREEN,0,False
C0036,LOG,SME,0.008851831960854517,GREEN,0,False
C0037,CON,Corp,0.0,GREEN,0,True
C0038,MFG,SME,0.0,GREEN,0,False
C0039,RET,SME,0.0,GREEN,0,False
C0040,AGR,SME,0.005613736722759279,GREEN,0,True
C0041,MFG,Corp,0.0,GREEN,0,False
C0042,ENG,SME,0.0,GREEN,0,False
C0043,MFG,SME,0.013050863422291994,GREEN,0,False
C0044,TEL,SME,0.0,GREEN,0,True
C0045,TRA,SME,0.0,GREEN,0,False
C0046,RET,SME,0.0003401360544217687,GREEN,0,False
C0047,CON,SME,0.160679509835508,RED,0,False
C0048,ENG,SME,0.0,GREEN,0,False
C0049,ENG,SME,0.0003401360544217687,GREEN,0,False
C0050,TRA,Corp,0.0,GREEN,0,False
C0051,IT,Corp,0.001435374149659864,GREEN,0,False
